From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Length,Interacts with
HNRNPA1,A0A7I2V5N7,unreviewed,A0A7I2V5N7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,56,
HNRNPA1,A0A7I2V5P1,unreviewed,A0A7I2V5P1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,70,
HNRNPA1,A0A7I2V5T1,unreviewed,A0A7I2V5T1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,83,
HNRNPA1,A0A7I2V5U9,unreviewed,A0A7I2V5U9_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,75,
HNRNPA1,A0A7I2V5W8,unreviewed,A0A7I2V5W8_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,32,
HNRNPA1,A0A7I2V661,unreviewed,A0A7I2V661_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,70,
HNRNPA1,A0A7I2V666,unreviewed,A0A7I2V666_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,77,
HNRNPA1,A0A7I2YQ85,unreviewed,A0A7I2YQ85_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,49,
HNRNPA1,A0A7I2YQJ2,unreviewed,A0A7I2YQJ2_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,87,
HNRNPA1,A0A7I2YQR6,unreviewed,A0A7I2YQR6_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,43,
HNRNPA1,A0A7I2YQU4,unreviewed,A0A7I2YQU4_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,56,
HNRNPA1,A0A7I2YQV3,unreviewed,A0A7I2YQV3_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,54,
HNRNPA1,A0A7I2YQV6,unreviewed,A0A7I2YQV6_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,81,
HNRNPA1,A0A7I2YQW0,unreviewed,A0A7I2YQW0_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,18,
HNRNPA1,A0A7I2YQX9,unreviewed,A0A7I2YQX9_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,275,
HNRNPA1,A0A7I2YQY2,unreviewed,A0A7I2YQY2_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,45,
HNRNPA1,F8VTQ5,unreviewed,F8VTQ5_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,145,
HNRNPA1,F8VYN5,unreviewed,F8VYN5_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,69,
HNRNPA1,F8VZ49,unreviewed,F8VZ49_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,231,
HNRNPA1,F8W646,unreviewed,F8W646_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,156,
HNRNPA1,F8W6I7,unreviewed,F8W6I7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,307,
HNRNPA1,H0YH80,unreviewed,H0YH80_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,191,
APOA5,Q6Q788,reviewed,APOA5_HUMAN,Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3),APOA5 RAP3 UNQ411/PRO773,366,Q96CM8; O95393; Q96MX0; Q96DZ9-2; Q9NX76; Q8NDC4; Q9HB07; Q9BQE4; A0PK00; Q96HH6; Q9BTV4; P49638; O95070
APOA5,A0A0B4RUS7,unreviewed,A0A0B4RUS7_HUMAN,"Apolipoprotein A-V, isoform CRA_a (Apolipoprotein A5)",APOA5 hCG_1642845,366,
APOA5,A0A669KB69,unreviewed,A0A669KB69_HUMAN,Apolipoprotein A5,APOA5,394,
APOA5,B0YIW1,unreviewed,B0YIW1_HUMAN,"Apolipoprotein A-V variant 3 (cDNA, FLJ96227, Homo sapiens apolipoprotein A-V (APOA5), mRNA)",APOA5,363,
KIR3DL1,P43629,reviewed,KI3L1_HUMAN,Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e),KIR3DL1 CD158E NKAT3 NKB1,444,O95393; P30511; Q9NRQ5; Q9C0I4
KIR3DL1,A0A0C4ZLQ8,unreviewed,A0A0C4ZLQ8_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1) (Natural killer cell inhibitory receptor),KIR3DL1,444,
KIR3DL1,A0A0C4ZN31,unreviewed,A0A0C4ZN31_HUMAN,Killer cell immunoglobulin-like receptor 3DL1 (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1),KIR3DL1,444,
KIR3DL1,A0A0G2JLX2,unreviewed,A0A0G2JLX2_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1),KIR3DL1,444,
KIR3DL1,A0A0G2JM22,unreviewed,A0A0G2JM22_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JM66,unreviewed,A0A0G2JM66_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JMK7,unreviewed,A0A0G2JMK7_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JN47,unreviewed,A0A0G2JN47_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JN48,unreviewed,A0A0G2JN48_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,411,
KIR3DL1,A0A0G2JNF3,unreviewed,A0A0G2JNF3_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JNM4,unreviewed,A0A0G2JNM4_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A0A0G2JNU1,unreviewed,A0A0G2JNU1_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JP89,unreviewed,A0A0G2JP89_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,349,
KIR3DL1,A0A0G2JPC2,unreviewed,A0A0G2JPC2_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JPH7,unreviewed,A0A0G2JPH7_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,349,
KIR3DL1,A0A0G2JPV6,unreviewed,A0A0G2JPV6_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A0G2JQ40,unreviewed,A0A0G2JQ40_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,219,
KIR3DL1,A0A172R164,unreviewed,A0A172R164_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1D0BNM2,unreviewed,A0A1D0BNM2_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1D0BPY0,unreviewed,A0A1D0BPY0_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1D0BRL6,unreviewed,A0A1D0BRL6_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1D0BRL8,unreviewed,A0A1D0BRL8_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1D0BZT6,unreviewed,A0A1D0BZT6_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1D0C0D6,unreviewed,A0A1D0C0D6_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1D0C0E9,unreviewed,A0A1D0C0E9_HUMAN,KIR3DL1 protein,KIR3DL1,444,
KIR3DL1,A0A1W2PNX4,unreviewed,A0A1W2PNX4_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,349,
KIR3DL1,A0A1W2PP93,unreviewed,A0A1W2PP93_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A1W2PPM9,unreviewed,A0A1W2PPM9_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,349,
KIR3DL1,A0A1W2PPW5,unreviewed,A0A1W2PPW5_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A1W2PQC9,unreviewed,A0A1W2PQC9_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,349,
KIR3DL1,A0A1W2PQG9,unreviewed,A0A1W2PQG9_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,427,
KIR3DL1,A0A1W2PRK8,unreviewed,A0A1W2PRK8_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,349,
KIR3DL1,A0A1W2PS07,unreviewed,A0A1W2PS07_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,349,
KIR3DL1,A0A2I2JL12,unreviewed,A0A2I2JL12_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,A0A2I2JL13,unreviewed,A0A2I2JL13_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,A0A2I2JL19,unreviewed,A0A2I2JL19_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,A0A2I2JL21,unreviewed,A0A2I2JL21_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,A0A2R4FYK3,unreviewed,A0A2R4FYK3_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A0A2R4FYK7,unreviewed,A0A2R4FYK7_HUMAN,Killer cell immunoglobulin-like receptor 3DL1/3DL2V,KIR3DL1 DL2V,445,
KIR3DL1,A0A2R4FYL2,unreviewed,A0A2R4FYL2_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A0A376A8S6,unreviewed,A0A376A8S6_HUMAN,KIR3DL1 protein,KIR3DL1,246,
KIR3DL1,A0A376A8U7,unreviewed,A0A376A8U7_HUMAN,KIR3DL1 protein,KIR3DL1,341,
KIR3DL1,A0A376A8V8,unreviewed,A0A376A8V8_HUMAN,KIR3DL1 protein,KIR3DL1,346,
KIR3DL1,A0A5J6VMJ0,unreviewed,A0A5J6VMJ0_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A0A5J6VN39,unreviewed,A0A5J6VN39_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A0A5J6VN80,unreviewed,A0A5J6VN80_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A0A5J6VNK5,unreviewed,A0A5J6VNK5_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A0A5J6VQJ1,unreviewed,A0A5J6VQJ1_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,444,
KIR3DL1,A5X6C7,unreviewed,A5X6C7_HUMAN,KIR3DL1,KIR3DL1,422,
KIR3DL1,A6XI96,unreviewed,A6XI96_HUMAN,KIR3DL1,KIR3DL1,422,
KIR3DL1,A8DR97,unreviewed,A8DR97_HUMAN,KIR3DL1,KIR3DL1,422,
KIR3DL1,A8QIT6,unreviewed,A8QIT6_HUMAN,KIR3DL1,KIR3DL1,422,
KIR3DL1,B7S713,unreviewed,B7S713_HUMAN,KIR3DL1,KIR3DL1,23,
KIR3DL1,B7S714,unreviewed,B7S714_HUMAN,KIR3DL1,KIR3DL1,420,
KIR3DL1,C4N359,unreviewed,C4N359_HUMAN,KIR3DL1 (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor),KIR3DL1,444,
KIR3DL1,C4N360,unreviewed,C4N360_HUMAN,KIR3DL1 (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor 3DL1),KIR3DL1,444,
KIR3DL1,C4N361,unreviewed,C4N361_HUMAN,KIR3DL1 (KIR3DL1/S1),KIR3DL1,444,
KIR3DL1,C4N362,unreviewed,C4N362_HUMAN,KIR3DL1 (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor),KIR3DL1,444,
KIR3DL1,C4N363,unreviewed,C4N363_HUMAN,KIR3DL1 (KIR3DL1/S1),KIR3DL1,444,
KIR3DL1,C4N364,unreviewed,C4N364_HUMAN,KIR3DL1 (KIR3DL1/S1),KIR3DL1,444,
KIR3DL1,C4N365,unreviewed,C4N365_HUMAN,KIR3DL1 (KIR3DL1/S1),KIR3DL1,444,
KIR3DL1,E0X071,unreviewed,E0X071_HUMAN,KIR3DL1,KIR3DL1,434,
KIR3DL1,E0X073,unreviewed,E0X073_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,E0X074,unreviewed,E0X074_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1),KIR3DL1,444,
KIR3DL1,E0X076,unreviewed,E0X076_HUMAN,KIR3DL1,KIR3DL1,434,
KIR3DL1,E0X078,unreviewed,E0X078_HUMAN,KIR3DL1,KIR3DL1,453,
KIR3DL1,E0X079,unreviewed,E0X079_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,E0X081,unreviewed,E0X081_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,E0X082,unreviewed,E0X082_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,E0X083,unreviewed,E0X083_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,E0X084,unreviewed,E0X084_HUMAN,KIR3DL1,KIR3DL1,434,
KIR3DL1,I6LEK6,unreviewed,I6LEK6_HUMAN,KIR3DL1,KIR3DL1,119,
KIR3DL1,I6LEK8,unreviewed,I6LEK8_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LEK9,unreviewed,I6LEK9_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LEL0,unreviewed,I6LEL0_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor),KIR3DL1,444,
KIR3DL1,I6LEL4,unreviewed,I6LEL4_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LEL5,unreviewed,I6LEL5_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LEL6,unreviewed,I6LEL6_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LEL9,unreviewed,I6LEL9_HUMAN,KIR3DL1,KIR3DL1,317,
KIR3DL1,I6LEM1,unreviewed,I6LEM1_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LFJ5,unreviewed,I6LFJ5_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LFJ6,unreviewed,I6LFJ6_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LFJ9,unreviewed,I6LFJ9_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,I6LFK0,unreviewed,I6LFK0_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,Q15702,unreviewed,Q15702_HUMAN,Killer cell Ig-like receptor variant (Killer cell immunoglobulin-like receptor 3DL1),KIR3DL1,427,
KIR3DL1,Q1PSF1,unreviewed,Q1PSF1_HUMAN,KIR3DL1,KIR3DL1,444,
KIR3DL1,Q5UCD8,unreviewed,Q5UCD8_HUMAN,KIR3DL1 (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1) (Natural killer cell inhibitory receptor),KIR3DL1,444,
KIR3DL1,Q5UCD9,unreviewed,Q5UCD9_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1),KIR3DL1 KIR3DL13DL1*00402_extension_1,444,
KIR3DL1,Q5UCE1,unreviewed,Q5UCE1_HUMAN,"KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1) (Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1)",KIR3DL1,444,
KIR3DL1,Q5UCE2,unreviewed,Q5UCE2_HUMAN,KIR3DL1 (KIR3DL1 protein) (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1),KIR3DL1,444,
KIR3DL1,Q646T8,unreviewed,Q646T8_HUMAN,KIR3DL1,KIR3DL1 KIR3DL13DL1*019_extension_1,444,
KIR3DL1,Q6H2G0,unreviewed,Q6H2G0_HUMAN,Natural killer cell inhibitory receptor,KIR3DL1,420,
KIR3DL1,Q6H2G1,unreviewed,Q6H2G1_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1) (Natural killer cell inhibitory receptor),KIR3DL1,444,
KIR3DL1,Q6H2G2,unreviewed,Q6H2G2_HUMAN,KIR3DL1 (Natural killer cell inhibitory receptor),KIR3DL1,444,
KIR3DL1,Q6H2G3,unreviewed,Q6H2G3_HUMAN,KIR3DL1 (KIR3DL1 protein) (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Natural killer cell inhibitory receptor),KIR3DL1,444,
KIR3DL1,Q6QWD6,unreviewed,Q6QWD6_HUMAN,KIR antigen 3DL1,KIR3DL1,236,
KIR3DL1,Q8N0X6,unreviewed,Q8N0X6_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,417,
KIR3DL1,Q8N0Z7,unreviewed,Q8N0Z7_HUMAN,Killer cell immunoglobulin receptor,KIR3DL1,427,
KIR3DL1,Q8N152,unreviewed,Q8N152_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Natural killer cell inhibitory receptor),KIR3DL1,444,
KIR3DL1,Q8N6C9,unreviewed,Q8N6C9_HUMAN,"KIR3DL1 (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1)",KIR3DL1 KIR3DL13DL1*009_extension_1 KIR3DL13DL1*009_extension_2 KIR3DL13DL1*009_extension_3 KIR3DL13DL1*009_extension_4,444,
KIR3DL1,Q8NHK7,unreviewed,Q8NHK7_HUMAN,KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1),KIR3DL1,444,
KIR3DL1,Q8NHK8,unreviewed,Q8NHK8_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,417,
KIR3DL1,Q8NHK9,unreviewed,Q8NHK9_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,417,
KIR3DL1,Q8NHL0,unreviewed,Q8NHL0_HUMAN,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,417,
KIR3DL1,W5QJC1,unreviewed,W5QJC1_HUMAN,"Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 (Killer cell immunoglobulin-like receptor 3DL1)",KIR3DL1,427,
IL1B,P01584,reviewed,IL1B_HUMAN,Interleukin-1 beta (IL-1 beta) (Catabolin),IL1B IL1F2,269,
IL1B,B5BUQ8,unreviewed,B5BUQ8_HUMAN,Multifunctional fusion protein [Includes: Interleukin-1; Interleukin-1 beta],IL1B,153,
IL1B,C9JSC2,unreviewed,C9JSC2_HUMAN,Interleukin-1 beta,IL1B,125,
IL1B,C9JVK0,unreviewed,C9JVK0_HUMAN,Interleukin-1 beta,IL1B,111,
IL1B,C9JWV2,unreviewed,C9JWV2_HUMAN,Interleukin-1 beta,IL1B,143,
IL1B,O43645,unreviewed,O43645_HUMAN,Multifunctional fusion protein [Includes: Interleukin-1; Interleukin-1 beta],IL1b IL1B,153,
